institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
Wagner College,Staten Island,NY,Mid East,Private nonprofit,4-year,Bachelor's,0.88,1243,1651,0.2385,0.2845,75806,65574,53200,53200,0.6514,25000,63439,74360,47410,108167,0.821,0.336,40.615588,-74.092913
Wake Forest University,Winston-Salem,NC,Southeast,Private nonprofit,4-year,Bachelor's,0.2167,1475,5485,0.1009,0.1197,94263,87499,67642,67642,0.8915,21500,67722,78158,53216,126384,0.875,0.275,36.133609,-80.277446
Wake Technical Community College,Raleigh,NC,Southeast,Public,2-year,Certificate,,,19675,0.283,0.384,24587,15953,2254,6862,0.3296,12000,35300,41769,23081,62435,0.606,0.287,35.650151,-78.706126
Walden University,Minneapolis,MN,Plains,Private for-profit,4-year,Bachelor's,,,9136,0.5518,0.5081,29738,35358,12762,12762,,20834,50657,42810,22490,68123,0.845,0.487,44.98125,-93.265738
Waldorf University,Forest City,IA,Plains,Private nonprofit,4-year,Bachelor's,0.7698,,1827,0.3552,0.4626,40142,39675,25978,25978,0.2114,18752,50515,51165,31771,79077,0.733,0.367,43.262923,-93.641714
Walla Walla Community College,Walla Walla,WA,Far West,Public,4-year,Associate,,,2418,0.3162,0.4568,23492,19268,5279,6700,0.3822,14000,37119,43526,24760,67809,0.628,0.322,46.078557,-118.276505
Walla Walla University,College Place,WA,Far West,Private nonprofit,4-year,Bachelor's,,,1252,0.2598,0.1661,65228,45903,34227,34227,0.599,26842,52840,61885,37548,88335,0.732,0.434,46.048088,-118.389555
Walnut Hill College,Philadelphia,PA,Mid East,Private for-profit,4-year,Associate,0.4272,,175,0.315,0.4346,34833,35504,29499,29499,0.5763,18765,33867,36689,18105,53311,0.635,0.511,39.955098,-75.20749
Walsh College,Troy,MI,Great Lakes,Private nonprofit,4-year,Bachelor's,,,445,0.3474,0.4819,28076,,,,,16217,64114,72081,46942,100874,0.833,0.225,42.573888,-83.147197
Walsh University,North Canton,OH,Great Lakes,Private nonprofit,4-year,Bachelor's,0.7074,1193,1390,0.2736,0.3418,65294,47575,35745,35745,0.585,27000,50090,59764,40103,80565,0.78,0.452,40.873908,-81.369931
Walters State Community College,Morristown,TN,Southeast,Public,2-year,Associate,,,3591,0.304,0.5583,20244,14313,4752,17736,0.3333,,31089,37085,21488,53290,0.543,,36.213179,-83.262503
Warner Pacific University,Portland,OR,Far West,Private nonprofit,4-year,Bachelor's,0.7114,,375,0.4786,0.4659,35115,38948,22220,22220,0.4918,25000,45660,55204,34428,78883,0.697,0.453,45.506265,-122.592498
Warner Pacific University Professional and Graduate Studies,Portland,OR,Far West,Private nonprofit,4-year,Bachelor's,0.5935,,144,0.3292,0.4659,35115,,14640,14640,,25000,45660,55204,34428,78883,0.697,0.453,45.506265,-122.592498
Warner University,Lake Wales,FL,Southeast,Private nonprofit,4-year,Bachelor's,0.4281,932,756,0.5088,0.4251,29095,41044,29992,29992,0.4213,22250,39589,46086,26799,60997,0.764,0.483,27.825751,-81.599972
Warren County Career Center,Lebanon,OH,Great Lakes,Public,Less than 2-year,Certificate,,,263,0.1492,0.57,28490,,,,0.7742,5500,45661,49016,23143,74988,,0.112,39.488772,-84.202969
Warren County Community College,Washington,NJ,Mid East,Public,2-year,Associate,,,836,0.0985,0.4979,28462,13314,5460,6360,0.3889,9300,37919,43359,22704,63708,0.663,0.214,40.744812,-75.018309
Warren Wilson College,Swannanoa,NC,Southeast,Private nonprofit,4-year,Bachelor's,0.7134,1350,707,0.396,0.204,44436,56966,41500,41500,0.42,25000,27723,36260,16552,53465,0.542,0.689,35.610328,-82.442619
Warrensburg Area Career Center,Warrensburg,MO,Plains,Public,Less than 2-year,Certificate,1.0,,31,0.5217,,22395,,,,1.0,,36872,37242,14662,57356,,,38.761649,-93.70714
Wartburg College,Waverly,IA,Plains,Private nonprofit,4-year,Bachelor's,0.7584,1136,1452,0.2212,0.1735,83926,64359,26250,26250,0.643,27000,48795,56201,41047,77239,0.84,0.48,42.7277,-92.483387
Washburn Institute of Technology,Topeka,KS,Plains,Public,2-year,Certificate,,,615,0.1348,0.3781,36446,14251,8880,8880,0.6766,18127,42881,49774,32138,69324,0.743,0.364,39.04497,-95.751158
Washburn University,Topeka,KS,Plains,Public,4-year,Bachelor's,,,4562,0.3359,0.3781,36446,21512,9945,20949,0.5296,18127,42881,49774,32138,69324,0.743,0.364,39.033778,-95.702222
Washington & Jefferson College,Washington,PA,Mid East,Private nonprofit,4-year,Bachelor's,0.8064,,1295,0.3115,0.216,79951,42972,29392,29392,0.6952,27000,52082,67918,45838,101438,0.852,0.398,40.170622,-80.24049
Washington Adventist University,Takoma Park,MD,Mid East,Private nonprofit,4-year,Bachelor's,0.4618,980,452,0.3719,0.3519,34060,34309,26604,26604,0.2865,30500,40114,64249,41754,94418,0.701,0.475,38.986349,-77.000608
Washington Barber College Inc,Little Rock,AR,Southeast,Private for-profit,Less than 2-year,Certificate,,,43,1.0,0.5548,2597,,,,0.8889,14000,16718,8579,,37089,,1.632,34.69065,-92.335352
Washington College,Chestertown,MD,Mid East,Private nonprofit,4-year,Bachelor's,0.5689,1280,891,0.226,0.1604,88294,73314,55326,55326,0.6537,26956,48763,65518,47119,93980,0.815,0.411,39.217329,-76.06878
Washington County Career Center-Adult Technical Training,Marietta,OH,Great Lakes,Public,Less than 2-year,Certificate,,,193,0.1924,0.5948,20006,,,,0.7879,,34353,43749,29687,68358,,,39.43299,-81.50106
Washington County Community College,Calais,ME,New England,Public,2-year,Certificate,,,443,0.3869,0.4412,24686,13731,4156,7036,0.5517,,,34407,20455,47980,0.529,,45.165537,-67.243306
Washington Health System School of Nursing,Washington,PA,Mid East,Private nonprofit,2-year,Certificate,,,37,0.2821,,38241,,,,,14750,51836,63504,38169,81671,0.831,0.232,40.183984,-80.245709
